Title GSheet	Start Date	End Date	Author(s)	Display Genre	Type	Format	Pages	Hours	My Rating	Re-Read?	Book Club?	Technical?	Goodreads	Year Read	Start Month	End Month	Num Days Reading	Pages Per Day	Hours Per Day	Goodreads Rating	Full Title	Title	Subtitle	Year Published	Period Published	Num Reviews	Num Ratings	Num Five Stars	Num Four Stars	Num Three Stars	Num Two Stars	Num One Stars	Gender(s)	Num Authors	Author Gender	Rating Delta	Rating Delta Absolute	Read On Release?	1-Star Rating Percentage	5-Star Rating Percentage	Goodreads Rating Binned
The Age of Revolution	2019-08-19	2019-08-29	Eric Hobsbawn	History	Non-Fiction	Physical	305.0		3.0	False	False	False	https://www.goodreads.com/book/show/550840.The_Age_of_Revolution_1789_1848	2019	08-2019	08-2019	11	27.727272727272727		4.21	The Age of Revolution, 1789–1848	The Age of Revolution, 1789–1848	The Age of Revolution, 1789–1848	1962	Contemporary (20th)	443	7070	2945	2945	973	152	55	Male	1	Male	-1.21	1.21	False	0.7779349363507779	41.654879773691654	(4.0, 4.25]
Line in the Sand	2019-08-26	2019-09-09	James Barr	History	Non-Fiction	Audible		15.0	3.0	False	False	False	https://www.goodreads.com/book/show/12121296-a-line-in-the-sand	2019	08-2019	09-2019	15		1.0	4.06	A Line in the Sand: Britain, France and the Struggle that Shaped the Middle East	A Line in the Sand	Britain, France and the Struggle that Shaped the Middle East	2011	Contemporary (21st)	356	3690	1200	1664	689	112	25	Male	1	Male	-1.0599999999999996	1.0599999999999996	False	0.6775067750677507	32.52032520325203	(4.0, 4.25]
Lords of Finance	2019-08-31	2019-09-09	Liaqat Ahamed	History	Non-Fiction	Physical	507.0		5.0	False	False	False	https://www.goodreads.com/book/show/7132211-lords-of-finance	2019	08-2019	09-2019	10	50.7		4.02	Lords of Finance: The Bankers Who Broke the World	Lords of Finance	The Bankers Who Broke the World	2009	Contemporary (21st)	936	15432	5702	5803	2821	752	354	Male	1	Male	0.9800000000000004	0.9800000000000004	False	2.29393468118196	36.94919647485744	(4.0, 4.25]
Prisoners of Geography	2019-09-10	2019-09-16	Tim Marshall	History	Non-Fiction	Audible		10.5	4.0	False	False	False	https://www.goodreads.com/book/show/25135194-prisoners-of-geography	2019	09-2019	09-2019	7		1.5	4.2	Prisoners of Geography: Ten Maps That Tell You Everything You Need to Know About Global Politics	Prisoners of Geography	Ten Maps That Tell You Everything You Need to Know About Global Politics	2015	Contemporary (21st)	7668	89824	37792	36288	12407	2479	858	Male	1	Male	-0.20000000000000018	0.20000000000000018	False	0.9552012825080157	42.07338795867474	(4.0, 4.25]
The New Tsar	2019-09-12	2019-09-25	Steven Lee Myers	Biography	Non-Fiction	Physical	481.0		4.0	True	False	False	https://www.goodreads.com/book/show/29922989-the-new-tsar	2019	09-2019	09-2019	14	34.357142857142854		4.07	The New Tsar	The New Tsar	The New Tsar	2014	Contemporary (21st)	526	5149	1614	2519	826	125	65	Male	1	Male	-0.07000000000000028	0.07000000000000028	False	1.2623810448630801	31.345892406292485	(4.0, 4.25]
The Complete Guide To Property Investment	2019-09-17	2019-09-21	Rob Dix	Business	Non-Fiction	Audible		6.0	4.0	False	False	False	https://www.goodreads.com/book/show/28628271-the-complete-guide-to-property-investment	2019	09-2019	09-2019	5		1.2	4.41	The Complete Guide to Property Investment: How to survive & thrive in the new world of buy-to-let	The Complete Guide to Property Investment	How to survive & thrive in the new world of buy-to-let	2016	Contemporary (21st)	65	1145	625	391	108	14	7	Male	1	Male	-0.41000000000000014	0.41000000000000014	False	0.611353711790393	54.58515283842795	(4.25, 4.5]
The Silk Roads	2019-09-22	2019-10-25	Peter Frankopan	History	Non-Fiction	Audible		24.0	4.5	False	False	False	https://www.goodreads.com/book/show/25812847-the-silk-roads	2019	09-2019	10-2019	34		0.7058823529411765	4.17	Silk Roads	Silk Roads	Silk Roads	2015	Contemporary (21st)	3385	38221	16790	13983	5384	1347	717	Male	1	Male	0.33000000000000007	0.33000000000000007	False	1.8759320792234635	43.928730279165904	(4.0, 4.25]
Dark Age	2019-09-25	2019-10-08	Pierce Brown	Science Fiction	Fiction	Kindle	939.0		5.0	False	False	False	https://www.goodreads.com/book/show/29226553-dark-age	2019	09-2019	10-2019	14	67.07142857142857		4.46	Dark Age	Dark Age	Dark Age	2019	Contemporary (21st)	4999	56143	33972	15961	4875	1012	323	Male	1	Male	0.54	0.54	True	0.5753166022478314	60.50976969524251	(4.25, 4.5]
The Choice	2019-10-08	2019-10-14	Edith Eva Eger	Biography	Non-Fiction	Kindle	304.0		3.0	False	False	False	https://www.goodreads.com/book/show/36203368-the-choice	2019	10-2019	10-2019	7	43.42857142857143		4.58	The Choice	The Choice	The Choice	2017	Contemporary (21st)	9468	95627	64884	23265	6134	904	440	Female	1	Female	-1.58	1.58	False	0.4601210955064992	67.8511299110084	(4.5, 4.75]
The Son	2019-10-16	2019-10-21	Phillip Meyer	Novel	Fiction	Physical	561.0		4.0	False	False	False	https://www.goodreads.com/book/show/18948016-the-son	2019	10-2019	10-2019	6	93.5		4.02	The Son	The Son	The Son	2013	Contemporary (21st)	3870	35086	12650	13589	6481	1702	664	Male	1	Male	-0.019999999999999574	0.019999999999999574	False	1.8924927321438751	36.05426665906629	(4.0, 4.25]
The Dark Side of the Mind	2019-10-21	2019-10-24	Kerry Daynes	Miscellaneous	Non-Fiction	Kindle	222.0		2.5	False	False	False	https://www.goodreads.com/book/show/44532840-the-dark-side-of-the-mind	2019	10-2019	10-2019	4	55.5		4.04	The Dark Side of the Mind: True Stories from My Life as a Forensic Psychologist	The Dark Side of the Mind	True Stories from My Life as a Forensic Psychologist	2019	Contemporary (21st)	467	6020	2023	2505	1255	192	45	Female	1	Female	-1.54	1.54	True	0.7475083056478405	33.6046511627907	(4.0, 4.25]
